NONMAN_AUTO,NONMAN_TRANSIT,NONMAN_NONMOTOR,NONMAN_SOV_0,NONMAN_SOV_1,NONMAN_SOV_2,NONMAN_HOV_0,NONMAN_HOV_1,NONMAN_HOV_2,SHOP_HOV_0,SHOP_HOV_1,SHOP_HOV_2,MAINT_HOV_0,MAINT_HOV_1,MAINT_HOV_2,EAT_HOV_0,EAT_HOV_1,EAT_HOV_2,VISIT_HOV_0,VISIT_HOV_1,VISIT_HOV_2,DISCR_HOV_0,DISCR_HOV_1,DISCR_HOV_2,ESCORT_HOV_0,ESCORT_HOV_1,ESCORT_HOV_2,SHOP_SOV_0,SHOP_SOV_1,SHOP_SOV_2,MAINT_SOV_0,MAINT_SOV_1,MAINT_SOV_2,EAT_SOV_0,EAT_SOV_1,EAT_SOV_2,VISIT_SOV_0,VISIT_SOV_1,VISIT_SOV_2,DISCR_SOV_0,DISCR_SOV_1,DISCR_SOV_2,ATWORK_SOV_0,ATWORK_SOV_2,TOTAL_EMP,ATWORK_NM,ALL_HHS_TRANSIT,NONMAN_MAAS,MGRA
13.63514,11.68871,10.22712,11.51244,15.65866,17.14043,14.75656,15.73848,15.25231,11.71785,12.70329,12.21454,13.11042,14.09545,13.60703,13.54636,14.53255,14.04315,12.75861,13.74655,13.25586,11.95214,12.93975,12.44928,14.82469,15.80878,15.32119,8.26466,12.623,14.10821,9.68553,14.01416,15.49891,10.03714,14.45289,15.93897,9.11762,13.66687,15.15467,8.33624,12.85981,14.34731,8.26956,13.8232,16.4899,7.00463,10.42676,12.58224,13
13.63514,11.67711,10.2983,11.52443,15.65877,17.14046,14.75703,15.73858,15.25247,11.71825,12.70336,12.21466,13.11071,14.09548,13.60708,13.54645,14.53252,14.0431,12.75856,13.74648,13.25574,11.95225,12.93973,12.44925,14.82492,15.80879,15.32122,8.27716,12.62309,14.10823,9.69433,14.01418,15.49892,10.04012,14.45285,15.93896,9.11582,13.66679,15.15466,8.34012,12.85979,14.3473,8.28413,13.82323,16.48993,7.08231,10.41387,12.58224,14
13.63514,11.82297,10.3322,11.63873,15.66185,17.14116,14.7618,15.74143,15.2571,11.72211,12.7057,12.21847,13.11488,14.09796,13.61112,13.55043,14.53483,14.04688,12.76221,13.74857,13.25916,11.95564,12.94174,12.45253,14.82945,15.81146,15.32557,8.39108,12.62562,14.10881,9.81407,14.01688,15.49953,10.1649,14.45536,15.93953,9.24621,13.66906,15.15517,8.45861,12.86196,14.3478,8.39557,13.82397,16.49085,7.11038,10.56413,12.58224,15
13.63164,11.95933,10.28002,11.72744,15.66135,17.13835,14.76238,15.74054,15.25792,11.72421,12.70479,12.22069,13.11491,14.09602,13.61132,13.54946,14.53338,14.04625,12.76088,13.74691,13.25819,11.95491,12.94024,12.45204,14.82671,15.8075,15.32307,8.58831,12.62536,14.10436,9.94522,14.01619,15.496,10.21413,14.45407,15.93713,9.29069,13.66752,15.15271,8.53152,12.86071,14.3452,8.49151,13.82112,16.48552,7.06863,10.66127,12.56985,16
13.63164,11.95955,10.23996,11.71834,15.66118,17.13831,14.76195,15.74037,15.25766,11.72416,12.70484,12.22076,13.1146,14.09589,13.6111,13.5487,14.53299,14.04561,12.76006,13.74647,13.25747,11.95444,12.94002,12.45167,14.82633,15.80732,15.32277,8.58712,12.62541,14.10437,9.93785,14.01604,15.49597,10.19239,14.45365,15.93704,9.26388,13.66705,15.1526,8.51691,12.86047,14.34514,8.4847,13.82109,16.4855,7.0294,10.63626,12.56985,17
13.70559,12.75648,10.62245,12.43475,15.76253,17.21858,14.87803,15.83974,15.37243,11.84436,12.80828,12.33931,13.2321,14.19786,13.72756,13.65038,14.62373,14.14724,12.85768,13.83501,13.35541,12.06033,13.03401,12.55693,14.94513,15.91191,15.44119,9.3471,12.73075,14.18911,10.68823,14.11955,15.57973,10.86983,14.54581,16.01453,9.92943,13.75681,15.22975,9.26007,12.95591,14.42542,9.20827,13.90241,16.57672,7.44861,11.43246,12.69525,18
13.70559,12.56589,10.52264,12.25955,15.75334,17.21645,14.86397,15.83124,15.35883,11.83042,12.79998,12.32601,13.21888,14.18996,13.71488,13.6405,14.6177,14.13751,12.84914,13.82977,13.34694,12.05046,13.02807,12.54733,14.93252,15.90424,15.42889,9.16296,12.72178,14.18703,10.50536,14.111,15.57775,10.69723,14.53929,16.01303,9.75629,13.75115,15.22845,9.08382,12.94948,14.42395,9.03307,13.90008,16.57387,7.3442,11.24172,12.69525,19
13.70559,12.61103,10.58671,12.30805,15.7556,17.21697,14.86764,15.83333,15.36218,11.83383,12.80191,12.32911,13.22195,14.1917,13.71768,13.6431,14.61926,14.14004,12.85139,13.83116,13.3492,12.05348,13.02988,12.55026,14.93667,15.90665,15.43277,9.21094,12.72387,14.18751,10.55068,14.11289,15.57818,10.74546,14.54099,16.01342,9.80458,13.75266,15.2288,9.14087,12.95144,14.4244,9.08091,13.90064,16.57479,7.41688,11.29877,12.69525,20
13.62485,10.49945,9.99437,10.69005,15.63433,17.12697,14.72451,15.7154,15.22104,11.69577,12.68848,12.1929,13.0879,14.08062,13.58512,13.51905,14.51249,14.01677,12.73391,13.72839,13.23211,11.92703,12.92084,12.42472,14.8016,15.79427,15.29901,7.42922,12.60705,14.10128,8.83074,13.99739,15.49149,9.18407,14.43188,15.9263,8.24467,13.64785,15.143,7.5154,12.84,14.33494,7.45647,13.80969,16.48229,6.79484,9.34293,12.55693,21
13.62485,11.35477,10.1514,11.25683,15.64286,17.1289,14.73792,15.72327,15.2339,11.70907,12.69634,12.20577,13.10064,14.08814,13.59743,13.52837,14.51795,14.02572,12.74194,13.7331,13.23983,11.93639,12.92633,12.43373,14.81313,15.80106,15.31013,8.09918,12.61557,14.1032,9.47533,14.00556,15.49333,9.72358,14.4378,15.92763,8.78542,13.65295,15.14415,8.08896,12.84596,14.33628,8.03069,13.81182,16.48478,6.95252,10.07539,12.55693,22
