NONMAN_AUTO,NONMAN_TRANSIT,NONMAN_NONMOTOR,NONMAN_SOV_0,NONMAN_SOV_1,NONMAN_SOV_2,NONMAN_HOV_0,NONMAN_HOV_1,NONMAN_HOV_2,SHOP_HOV_0,SHOP_HOV_1,SHOP_HOV_2,MAINT_HOV_0,MAINT_HOV_1,MAINT_HOV_2,EAT_HOV_0,EAT_HOV_1,EAT_HOV_2,VISIT_HOV_0,VISIT_HOV_1,VISIT_HOV_2,DISCR_HOV_0,DISCR_HOV_1,DISCR_HOV_2,ESCORT_HOV_0,ESCORT_HOV_1,ESCORT_HOV_2,SHOP_SOV_0,SHOP_SOV_1,SHOP_SOV_2,MAINT_SOV_0,MAINT_SOV_1,MAINT_SOV_2,EAT_SOV_0,EAT_SOV_1,EAT_SOV_2,VISIT_SOV_0,VISIT_SOV_1,VISIT_SOV_2,DISCR_SOV_0,DISCR_SOV_1,DISCR_SOV_2,ATWORK_SOV_0,ATWORK_SOV_2,TOTAL_EMP,ATWORK_NM,ALL_HHS_TRANSIT,NONMAN_MAAS,MGRA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13.62485,10.72497,10.14671,10.87974,15.6364,17.12744,14.7282,15.71731,15.22416,11.69826,12.68977,12.19502,13.09066,14.08202,13.58742,13.52198,14.51397,14.0192,12.73646,13.72967,13.2342,11.92953,12.92213,12.42684,14.80473,15.79586,15.30161,7.59281,12.60844,14.10159,9.00908,13.99891,15.49184,9.38616,14.43349,15.92666,8.44908,13.64923,15.14331,7.70305,12.8414,14.33525,7.64551,13.8102,16.48284,6.94153,9.52977,12.55693,14
13.61076,11.42809,10.04218,11.27333,15.62965,17.115,14.72472,15.70993,15.22108,11.68827,12.67642,12.18544,13.07923,14.06712,13.57632,13.51652,14.50537,14.01386,12.72967,13.72001,13.22742,11.92195,12.91187,12.41953,14.79457,15.78165,15.29161,8.02314,12.59568,14.08383,9.43428,13.98485,15.47275,9.78997,14.42537,15.91426,8.86577,13.64002,15.13031,8.09485,12.83158,14.32155,8.03175,13.79719,16.46469,6.82589,10.16661,12.53812,15
13.61076,11.68871,10.20557,11.50653,15.63476,17.11616,14.73302,15.71465,15.22875,11.69505,12.68027,12.19173,13.08644,14.07124,13.58305,13.52302,14.50903,14.01983,12.73545,13.72324,13.23272,11.92764,12.9151,12.42481,14.80206,15.78593,15.29857,8.25887,12.59986,14.08478,9.67877,13.98932,15.47377,10.0297,14.42934,15.91516,9.1094,13.64353,15.13111,8.32777,12.83508,14.32234,8.264,13.79844,16.46619,6.98482,10.42676,12.53812,16
13.61076,11.49575,10.2327,11.37844,15.63148,17.11542,14.72823,15.71163,15.22383,11.69121,12.67782,12.18774,13.08212,14.06851,13.57859,13.51886,14.50653,14.01576,12.73157,13.72097,13.229,11.92416,12.91295,12.4213,14.79737,15.78304,15.29387,8.13198,12.5972,14.08418,9.53916,13.98636,15.47309,9.88277,14.42663,15.91454,8.95243,13.64106,15.13055,8.19146,12.83276,14.32182,8.14027,13.79765,16.4652,7.02397,10.23427,12.53812,17
13.61076,11.52856,10.1608,11.37913,15.6317,17.11547,14.72826,15.71183,15.22416,11.69122,12.67799,12.18801,13.08212,14.06867,13.57886,13.51913,14.50678,14.01616,12.73192,13.72123,13.22942,11.92429,12.91314,12.42161,14.79762,15.78332,15.29432,8.13248,12.59738,14.08422,9.53938,13.98654,15.47313,9.89286,14.4269,15.9146,8.96747,13.64134,15.13061,8.19719,12.83296,14.32186,8.1383,13.7977,16.46529,6.94654,10.26708,12.53812,18
13.63514,11.49575,10.24972,11.38388,15.65544,17.1397,14.75185,15.73551,15.24748,11.71404,12.70088,12.2106,13.10614,14.09275,13.60264,13.54225,14.5301,14.03915,12.75479,13.74432,13.2522,11.94871,12.93765,12.44584,14.82005,15.80594,15.31657,8.13655,12.62039,14.10762,9.54462,14.01124,15.49825,9.88999,14.45023,15.93837,8.96047,13.66445,15.15413,8.2,12.85753,14.3468,8.14533,13.82243,16.48894,7.03936,10.23427,12.58224,19
13.63514,11.33234,10.31534,11.30002,15.65339,17.13924,14.74907,15.73362,15.24439,11.71384,12.70057,12.2101,13.1052,14.09206,13.60151,13.53908,14.52813,14.03593,12.75174,13.74248,13.2492,11.94669,12.93635,12.44372,14.81655,15.80371,15.31293,8.1293,12.62006,14.10755,9.5111,14.01048,15.49808,9.75952,14.44809,15.93789,8.81481,13.66246,15.15368,8.11025,12.85613,14.34648,8.07728,13.822,16.48823,7.11468,10.03129,12.58224,20
13.63514,11.72531,10.32098,11.56521,15.65979,17.14069,14.75867,15.73953,15.25401,11.72251,12.70592,12.21882,13.1139,14.09739,13.61019,13.54674,14.53278,14.04353,12.75872,13.7467,13.25609,11.95341,12.94046,12.45043,14.82618,15.80958,15.32249,8.40234,12.62585,14.10886,9.78712,14.01626,15.49939,10.04995,14.45314,15.93903,9.12173,13.66703,15.15471,8.38252,12.86057,14.34748,8.33286,13.82353,16.4903,7.11726,10.45025,12.58224,21
13.63514,12.22844,10.31238,11.9457,15.67245,17.14359,14.7775,15.75123,15.27296,11.7416,12.71772,12.23796,13.13138,14.10825,13.6278,13.5597,14.54086,14.05667,12.76985,13.75365,13.26743,11.96666,12.94865,12.46378,14.8431,15.82015,15.33964,8.82957,12.63863,14.11177,10.1865,14.02803,15.50207,10.40789,14.46188,15.94101,9.47599,13.67455,15.15641,8.77051,12.86945,14.3495,8.71577,13.8267,16.49422,7.11416,10.91224,12.58224,22
13.63514,11.95253,10.31924,11.73165,15.66476,17.14182,14.76608,15.74412,15.26146,11.72996,12.71053,12.22631,13.11996,14.10111,13.61624,13.55212,14.53602,14.04882,12.76346,13.74952,13.2607,11.95807,12.9433,12.45507,14.83262,15.8135,15.32888,8.59041,12.63084,14.10999,9.94343,14.02029,15.5003,10.21373,14.45666,15.93982,9.28738,13.67008,15.1554,8.53603,12.86366,14.34818,8.4967,13.82475,16.49175,7.1093,10.64935,12.58224,23
13.63514,11.67711,10.29981,11.52487,15.65877,17.14046,14.75705,15.73859,15.25248,11.71826,12.70337,12.21467,13.11072,14.09548,13.60708,13.54646,14.53252,14.04311,12.75858,13.74648,13.25575,11.95225,12.93973,12.44925,14.82493,15.80879,15.32122,8.27741,12.62309,14.10823,9.69454,14.01419,15.49892,10.04063,14.45286,15.93896,9.11633,13.66679,15.15466,8.34042,12.85979,14.34731,8.28457,13.82323,16.48993,7.08376,10.41387,12.58224,24
13.63514,11.68871,10.22712,11.51244,15.65866,17.14043,14.75656,15.73848,15.25231,11.71785,12.70329,12.21454,13.11042,14.09545,13.60703,13.54636,14.53255,14.04315,12.75861,13.74655,13.25586,11.95214,12.93975,12.44928,14.82469,15.80878,15.32119,8.26466,12.623,14.10821,9.68553,14.01416,15.49891,10.03714,14.45289,15.93897,9.11762,13.66687,15.15467,8.33624,12.85981,14.34731,8.26956,13.8232,16.4899,7.00463,10.42676,12.58224,25
13.63514,11.67711,10.2983,11.52443,15.65877,17.14046,14.75703,15.73858,15.25247,11.71825,12.70336,12.21466,13.11071,14.09548,13.60708,13.54645,14.53252,14.0431,12.75856,13.74648,13.25574,11.95225,12.93973,12.44925,14.82492,15.80879,15.32122,8.27716,12.62309,14.10823,9.69433,14.01418,15.49892,10.04012,14.45285,15.93896,9.11582,13.66679,15.15466,8.34012,12.85979,14.3473,8.28413,13.82323,16.48993,7.08231,10.41387,12.58224,26
13.63514,11.82297,10.3322,11.63873,15.66185,17.14116,14.7618,15.74143,15.2571,11.72211,12.7057,12.21847,13.11488,14.09796,13.61112,13.55043,14.53483,14.04688,12.76221,13.74857,13.25916,11.95564,12.94174,12.45253,14.82945,15.81146,15.32557,8.39108,12.62562,14.10881,9.81407,14.01688,15.49953,10.1649,14.45536,15.93953,9.24621,13.66906,15.15517,8.45861,12.86196,14.3478,8.39557,13.82397,16.49085,7.11038,10.56413,12.58224,27
13.63164,11.95933,10.28002,11.72744,15.66135,17.13835,14.76238,15.74054,15.25792,11.72421,12.70479,12.22069,13.11491,14.09602,13.61132,13.54946,14.53338,14.04625,12.76088,13.74691,13.25819,11.95491,12.94024,12.45204,14.82671,15.8075,15.32307,8.58831,12.62536,14.10436,9.94522,14.01619,15.496,10.21413,14.45407,15.93713,9.29069,13.66752,15.15271,8.53152,12.86071,14.3452,8.49151,13.82112,16.48552,7.06863,10.66127,12.56985,28
13.63164,11.95955,10.23996,11.71834,15.66118,17.13831,14.76195,15.74037,15.25766,11.72416,12.70484,12.22076,13.1146,14.09589,13.6111,13.5487,14.53299,14.04561,12.76006,13.74647,13.25747,11.95444,12.94002,12.45167,14.82633,15.80732,15.32277,8.58712,12.62541,14.10437,9.93785,14.01604,15.49597,10.19239,14.45365,15.93704,9.26388,13.66705,15.1526,8.51691,12.86047,14.34514,8.4847,13.82109,16.4855,7.0294,10.63626,12.56985,29
13.70559,12.75648,10.62245,12.43475,15.76253,17.21858,14.87803,15.83974,15.37243,11.84436,12.80828,12.33931,13.2321,14.19786,13.72756,13.65038,14.62373,14.14724,12.85768,13.83501,13.35541,12.06033,13.03401,12.55693,14.94513,15.91191,15.44119,9.3471,12.73075,14.18911,10.68823,14.11955,15.57973,10.86983,14.54581,16.01453,9.92943,13.75681,15.22975,9.26007,12.95591,14.42542,9.20827,13.90241,16.57672,7.44861,11.43246,12.69525,30
13.70559,12.56589,10.52264,12.25955,15.75334,17.21645,14.86397,15.83124,15.35883,11.83042,12.79998,12.32601,13.21888,14.18996,13.71488,13.6405,14.6177,14.13751,12.84914,13.82977,13.34694,12.05046,13.02807,12.54733,14.93252,15.90424,15.42889,9.16296,12.72178,14.18703,10.50536,14.111,15.57775,10.69723,14.53929,16.01303,9.75629,13.75115,15.22845,9.08382,12.94948,14.42395,9.03307,13.90008,16.57387,7.3442,11.24172,12.69525,31
13.70559,12.61103,10.58671,12.30805,15.7556,17.21697,14.86764,15.83333,15.36218,11.83383,12.80191,12.32911,13.22195,14.1917,13.71768,13.6431,14.61926,14.14004,12.85139,13.83116,13.3492,12.05348,13.02988,12.55026,14.93667,15.90665,15.43277,9.21094,12.72387,14.18751,10.55068,14.11289,15.57818,10.74546,14.54099,16.01342,9.80458,13.75266,15.2288,9.14087,12.95144,14.4244,9.08091,13.90064,16.57479,7.41688,11.29877,12.69525,32
13.62485,10.49945,9.99437,10.69005,15.63433,17.12697,14.72451,15.7154,15.22104,11.69577,12.68848,12.1929,13.0879,14.08062,13.58512,13.51905,14.51249,14.01677,12.73391,13.72839,13.23211,11.92703,12.92084,12.42472,14.8016,15.79427,15.29901,7.42922,12.60705,14.10128,8.83074,13.99739,15.49149,9.18407,14.43188,15.9263,8.24467,13.64785,15.143,7.5154,12.84,14.33494,7.45647,13.80969,16.48229,6.79484,9.34293,12.55693,33
13.62485,11.35477,10.1514,11.25683,15.64286,17.1289,14.73792,15.72327,15.2339,11.70907,12.69634,12.20577,13.10064,14.08814,13.59743,13.52837,14.51795,14.02572,12.74194,13.7331,13.23983,11.93639,12.92633,12.43373,14.81313,15.80106,15.31013,8.09918,12.61557,14.1032,9.47533,14.00556,15.49333,9.72358,14.4378,15.92763,8.78542,13.65295,15.14415,8.08896,12.84596,14.33628,8.03069,13.81182,16.48478,6.95252,10.07539,12.55693,34
13.62485,12.4507,10.33318,12.13168,15.67064,17.13525,14.78005,15.74893,15.27543,11.75008,12.7212,12.24605,13.13919,14.11159,13.63546,13.5581,14.53615,14.05532,12.76766,13.74889,13.26557,11.96566,12.94413,12.46268,14.85139,15.82446,15.34807,9.03423,12.64248,14.10934,10.38176,14.031,15.49914,10.58023,14.4575,15.9321,9.64493,13.67005,15.14802,8.96122,12.86523,14.34066,8.90313,13.81873,16.49341,7.14904,11.13318,12.55693,35
13.62485,11.36604,10.1639,11.26851,15.64306,17.12895,14.73828,15.72346,15.23421,11.70916,12.69639,12.20585,13.10086,14.08824,13.5976,13.52891,14.51823,14.02617,12.7425,13.73338,13.24029,11.93672,12.92651,12.43402,14.8136,15.8013,15.31052,8.10268,12.61562,14.10321,9.48352,14.00567,15.49336,9.74719,14.4381,15.9277,8.814,13.65326,15.14422,8.10463,12.84615,14.33632,8.03986,13.81186,16.48484,6.96242,10.09965,12.55693,36
13.62485,12.26216,10.2406,11.95966,15.66333,17.13356,14.76881,15.74216,15.26455,11.73887,12.71455,12.23533,13.12899,14.10544,13.62554,13.55078,14.5316,14.04796,12.76158,13.74505,13.25933,11.95799,12.93949,12.45517,14.8416,15.81846,15.33839,8.84975,12.63529,14.10769,10.2075,14.02433,15.4976,10.4255,14.45258,15.93098,9.49674,13.6659,15.14708,8.79376,12.86021,14.33951,8.72867,13.81687,16.49114,7.04322,10.95246,12.55693,37
13.62485,10.72497,10.14872,10.8807,15.63641,17.12744,14.72822,15.71732,15.22418,11.69827,12.68978,12.19503,13.09068,14.08203,13.58743,13.52199,14.51398,14.01921,12.73647,13.72967,13.23421,11.92955,12.92213,12.42685,14.80475,15.79586,15.30162,7.59381,12.60845,14.10159,9.01028,13.99892,15.49184,9.38698,14.43349,15.92666,8.44984,13.64923,15.14331,7.70378,12.84141,14.33525,7.64652,13.8102,16.48284,6.94357,9.52977,12.55693,38
13.66007,12.52339,10.39866,12.20318,15.70754,17.17086,14.81774,15.78555,15.31299,11.78492,12.75477,12.28071,13.17409,14.14536,13.67022,13.59464,14.5721,14.09186,12.80348,13.78425,13.30141,12.00347,12.98124,12.50045,14.88482,15.85688,15.38142,9.11118,12.67643,14.14181,10.45618,14.06584,15.53266,10.64494,14.49365,15.96747,9.70722,13.7056,15.18292,9.03182,12.90258,14.37713,8.97565,13.85459,16.52605,7.2179,11.20036,12.61677,39
13.62485,12.28864,10.24514,11.98225,15.66424,17.13377,14.77018,15.74301,15.26591,11.74031,12.71541,12.23672,13.13014,14.10617,13.62672,13.55154,14.53212,14.04879,12.76216,13.74546,13.26,11.95882,12.94001,12.45601,14.84271,15.81917,15.33954,8.87535,12.63622,14.1079,10.22857,14.02513,15.49779,10.44279,14.45313,15.9311,9.51182,13.66634,15.14718,8.81318,12.86077,14.33964,8.75192,13.81711,16.49142,7.05095,10.97644,12.55693,40
