taz,cluster_id
13,1723
14,13
15,2012
16,2012
17,14
18,916
19,1856
20,751
21,751
22,1379
23,1379
24,15
25,16
26,17
27,18
28,945
29,945
30,916
31,1259
32,999
33,1856
34,1992
35,916
36,999
37,916
38,1659
39,1992
40,1856
41,1856
42,999
43,19
44,1992
45,1659
46,1992
47,1856
48,1992
49,1659
50,1659
51,20
52,1992
53,1992
54,1495
55,21
56,1655
57,22
58,868
59,868
60,954
61,954
62,1659
63,1715
64,1534
65,954
66,1534
67,1830
68,23
69,1830
70,954
71,1715
72,1692
73,1534
74,1715
75,24
76,1830
77,1830
78,1830
79,1830
80,1830
81,1856
82,1495
83,1853
84,1853
85,1162
86,1162
87,1830
88,1715
89,1534
90,1534
91,1534
92,1853
93,1856
94,1386
95,1534
96,1162
97,1692
98,25
99,1853
100,917
101,26
102,27
103,917
104,793
105,1692
106,1692
107,1692
108,1495
109,1495
110,1386
111,1995
112,793
113,1692
114,1655
115,28
116,793
117,29
118,1807
119,1495
120,1321
121,1692
122,1995
123,1995
124,1995
125,1882
126,774
127,774
128,879
129,747
130,747
131,1958
132,1495
133,1882
134,879
135,30
136,1882
137,1386
138,1688
139,1882
140,1688
141,879
142,879
143,31
144,1688
145,1688
146,879
147,1194
148,745
149,879
150,1116
151,1116
152,879
153,1958
154,32
155,745
156,745
157,745
158,1116
159,1421
160,745
161,33
162,1958
163,1224
164,892
165,745
166,34
167,2003
168,35
169,1421
170,1116
171,1000
172,1194
173,1688
174,892
175,2003
176,892
177,1080
178,1421
179,1688
180,1776
181,2003
182,1776
183,2003
184,1776
185,1807
186,1000
187,1080
188,36
189,1421
190,37
191,1259
192,1776
193,813
194,38
195,1224
196,1054
197,2002
198,39
199,1271
200,1134
201,956
202,1134
203,783
204,1710
205,827
206,1054
207,1080
208,1610
209,1054
210,1610
211,813
212,888
213,2002
214,783
215,827
216,1807
217,1301
218,1710
219,1260
220,1864
221,888
222,1271
223,888
224,1213
225,1051
226,1054
227,1015
228,1271
229,1301
230,1266
231,1259
232,2002
233,1864
234,1174
235,1271
236,1260
237,1213
238,1301
239,1864
240,2002
241,750
242,956
243,851
244,851
245,40
246,1174
247,1266
248,1266
249,1710
250,41
251,1266
252,1960
253,1960
254,761
255,1015
256,956
257,1051
258,1015
259,2002
260,1112
261,956
262,42
263,1825
264,1885
265,1159
266,1388
267,853
268,1825
269,1388
270,43
271,750
272,833
273,1960
274,2002
275,1112
276,1112
277,853
278,851
279,1527
280,1825
281,1250
282,1051
283,1047
284,761
285,1047
286,1960
287,1212
288,2002
289,1212
290,1515
291,2002
292,1960
293,1960
294,1960
295,1515
296,1825
297,1527
298,1710
299,1174
300,833
301,44
302,1159
303,45
304,1321
305,46
306,842
307,1141
308,47
309,1611
310,944
311,1805
312,1805
313,1527
314,1515
315,48
316,842
317,1250
318,1047
319,1047
320,944
321,1701
322,1482
323,913
324,1515
325,1047
326,1051
327,49
328,1602
329,1885
330,1141
331,913
332,1250
333,1701
334,1701
335,50
336,1723
337,1784
338,1611
339,1701
340,1701
341,1607
342,1611
343,1527
344,1482
345,1680
346,1599
347,843
348,1680
349,1527
350,944
351,1611
352,1998
353,1680
354,1680
355,843
356,843
357,1047
358,1051
359,1141
360,1443
361,1723
362,1680
363,1515
364,1607
365,1602
366,1723
367,1998
368,1602
